Report Generation Time , 06_04_2014_13_20_24
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
100, 100, 100, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDPVRP/pr01, 1996.617433, 1997.962483, 1999.698564, 3 
benchmark/MDPVRP/pr02, 3513.440937, 3533.284074, 3550.371827, 3 
benchmark/MDPVRP/pr03, 4560.224544, 4583.013870, 4618.791835, 3 
benchmark/MDPVRP/pr04, 5298.960365, 5310.449958, 5319.450466, 3 
benchmark/MDPVRP/pr05, 5915.671299, 5953.127887, 5976.228145, 2 
benchmark/MDPVRP/pr06, 7048.105724, 7085.533899, 7158.212682, 1 
benchmark/MDPVRP/pr07, 4543.330201, 4558.528930, 4573.906537, 3 
benchmark/MDPVRP/pr08, 6221.876636, 6257.008070, 6324.936435, 3 
benchmark/MDPVRP/pr09, 8610.918874, 8653.035512, 8676.143286, 3 
benchmark/MDPVRP/pr10, 10519.923592, 10614.295933, 10725.743784, 2 

ELAPSED TIME : 167 minutes 13 seconds
